Year,Data_Type,Slot,Percentile,Overall_Score,VARC_Score,DILR_Score,QA_Score
2022,Estimated Raw Score,Slot 2,90.0,59,28,19,25
2022,Estimated Raw Score,Slot 3,90.0,56.5,28,17,18
2022,Estimated Raw Score,Slot 1,85.0,49.5,24,17,19
2022,Estimated Raw Score,Slot 2,85.0,50,25,17,14
2022,Estimated Raw Score,Slot 3,85.0,48,25,15,14
2022,Estimated Raw Score,Slot 1,80.0,44.5,19.5,15,17
2022,Estimated Raw Score,Slot 2,80.0,44.5,20.5,15,12
2022,Estimated Raw Score,Slot 3,80.0,42,20.5,13,12
2021,Scaled Score,Consolidated,99.0,94.17,37.83,30.17,38.83
2021,Scaled Score,Consolidated,95.0,63.67,29.67,20.00,24.00
2021,Scaled Score,Consolidated,90.0,51.50,24.67,16.00,20.33
2021,Scaled Score,Consolidated,85.0,45.17,22.00,14.67,18.33
2021,Scaled Score,Consolidated,80.0,39.17,20.00,12.00,13.67
2021,Estimated Raw Score,Consolidated,99.0,94.17,37.83,30.17,38.83
2021,Estimated Raw Score,Consolidated,95.0,63.67,29.67,20.00,24.00
2021,Estimated Raw Score,Consolidated,90.0,51.50,24.67,16.00,20.33
2021,Estimated Raw Score,Consolidated,85.0,45.17,22.00,14.67,18.33
2021,Estimated Raw Score,Consolidated,80.0,39.17,20.00,12.00,13.67
2021,Estimated Raw Score,Slot 1,99.0,97,38,28.5,41
2021,Estimated Raw Score,Slot 2,99.0,95,38,30.5,40.5
2021,Estimated Raw Score,Slot 3,99.0,90.5,37.5,31.5,35
2021,Estimated Raw Score,Slot 1,95.0,60,30,21,25
2021,Estimated Raw Score,Slot 2,95.0,68,30,21,25
2021,Estimated Raw Score,Slot 3,95.0,63,29,18,22
2021,Estimated Raw Score,Slot 1,90.0,46.5,25,17,21
2021,Estimated Raw Score,Slot 2,90.0,56,25,17,21
2021,Estimated Raw Score,Slot 3,90.0,52,24,14,19
2021,Estimated Raw Score,Slot 1,85.0,41.5,22,17,22
2021,Estimated Raw Score,Slot 2,85.0,49,22,15,17
2021,Estimated Raw Score,Slot 3,85.0,45,22,12,16
2021,Estimated Raw Score,Slot 1,80.0,36.5,20,13,14
2021,Estimated Raw Score,Slot 2,80.0,42,20,13,14
2021,Estimated Raw Score,Slot 3,80.0,39,20,10,13
2020,Estimated Raw Score,Consolidated,99.0,110.83,45.33,32.67,43.67
2020,Estimated Raw Score,Consolidated,95.0,93.33,34.67,25.67,31.67
2020,Estimated Raw Score,Consolidated,90.0,79.33,28.00,20.00,25.33
2020,Estimated Raw Score,Slot 1,99.0,112.5,46.5,35,45
2020,Estimated Raw Score,Slot 2,99.0,115,43,33.5,43
2020,Estimated Raw Score,Slot 3,99.0,105,46.5,29.5,43
2020,Estimated Raw Score,Slot 1,95.0,100,35,28.5,35
2020,Estimated Raw Score,Slot 2,95.0,90,32.5,26.5,30
2020,Estimated Raw Score,Slot 3,95.0,90,36.5,22,30
2020,Estimated Raw Score,Slot 1,90.0,85,28,22,28
2020,Estimated Raw Score,Slot 2,90.0,78,26,20,24
2020,Estimated Raw Score,Slot 3,90.0,75,30,18,24
2020,Scaled Score,Consolidated,99.0,110.83,45.33,32.67,43.67
2020,Scaled Score,Consolidated,95.0,93.33,34.67,25.67,31.67
2020,Scaled Score,Consolidated,90.0,79.33,28.00,20.00,25.33
2019,Estimated Raw Score,Consolidated,99.5,170,68,57,69
2019,Estimated Raw Score,Consolidated,99.0,160.5,68,49,60
2019,Estimated Raw Score,Consolidated,95.0,125,56,37.5,48.5
2019,Estimated Raw Score,Consolidated,90.0,100,46.5,33,38.5
2019,Estimated Raw Score,Consolidated,85.0,96.5,49.5,26.5,36.5
2019,Estimated Raw Score,Consolidated,80.0,75,30,24,23
2018,Estimated Raw Score,Consolidated,99.0,147.50,60.50,49.00,47.75
2018,Estimated Raw Score,Consolidated,90.0,101.25,44.75,28.25,27.25
2018,Estimated Raw Score,Slot 1,99.5,160,68,55,50
2018,Estimated Raw Score,Slot 1,99.0,152.5,62,47,46.5
2018,Estimated Raw Score,Slot 2,99.0,142.5,59,51,49
2018,Estimated Raw Score,Slot 1,95.0,120,50,35,35
2018,Estimated Raw Score,Slot 1,90.0,105,44,24,25
2018,Estimated Raw Score,Slot 2,90.0,97.5,45.5,32.5,29.5
2017,Estimated Raw Score,Consolidated,99.0,155.00,55.00,36.75,62.50
2017,Estimated Raw Score,Consolidated,98.0,142.50,52.50,38.00,62.50
2017,Estimated Raw Score,Consolidated,95.0,138.75,47.50,33.25,57.50
2017,Estimated Raw Score,Consolidated,90.0,127.50,42.50,27.75,50.00
2017,Estimated Raw Score,Slot 1,99.0,152.5,57.5,33.5,62.5
2017,Estimated Raw Score,Slot 2,99.0,157.5,52.5,40,62.5
2017,Estimated Raw Score,Slot 1,98.0,140,52.5,33.5,62.5
2017,Estimated Raw Score,Slot 2,98.0,145,52.5,42.5,62.5
2017,Estimated Raw Score,Slot 1,95.0,135,47.5,29,57.5
2017,Estimated Raw Score,Slot 2,95.0,142.5,47.5,37.5,57.5
2017,Estimated Raw Score,Slot 1,90.0,125,42.5,26.5,50
2017,Estimated Raw Score,Slot 2,90.0,130,42.5,29,50
2017,Scaled Score,Consolidated,99.0,155.00,55.00,36.75,62.50
2017,Scaled Score,Consolidated,98.0,142.50,52.50,38.00,62.50
2017,Scaled Score,Consolidated,95.0,138.75,47.50,33.25,57.50
2017,Scaled Score,Consolidated,90.0,127.50,42.50,27.75,50.00
