Year,Data_Type,Slot,Percentile,Overall_Score,VARC_Score,DILR_Score,QA_Score
2017,Estimated Raw Score,Consolidated,99.0,155.0,55.0,36.75,62.5
2017,Estimated Raw Score,Consolidated,98.0,142.5,52.5,38.0,62.5
2017,Estimated Raw Score,Consolidated,95.0,138.75,47.5,33.25,57.5
2017,Estimated Raw Score,Consolidated,90.0,127.5,42.5,27.75,50.0
2017,Estimated Raw Score,Slot 1,99.0,152.5,57.5,33.5,62.5
2017,Estimated Raw Score,Slot 2,99.0,157.5,52.5,40.0,62.5
2017,Estimated Raw Score,Slot 1,98.0,140.0,52.5,33.5,62.5
2017,Estimated Raw Score,Slot 2,98.0,145.0,52.5,42.5,62.5
2017,Estimated Raw Score,Slot 1,95.0,135.0,47.5,29.0,57.5
2017,Estimated Raw Score,Slot 2,95.0,142.5,47.5,37.5,57.5
2017,Estimated Raw Score,Slot 1,90.0,125.0,42.5,26.5,50.0
2017,Estimated Raw Score,Slot 2,90.0,130.0,42.5,29.0,50.0
2017,Scaled Score,Consolidated,99.0,173.0,,,
2017,Scaled Score,Consolidated,95.0,139.0,,,
2017,Scaled Score,Consolidated,90.0,121.0,,,
2017,Scaled Score,Consolidated,80.0,98.0,,,
2018,Scaled Score,Consolidated,99.0,155.0,,,
2018,Scaled Score,Consolidated,95.0,125.0,,,
2018,Scaled Score,Consolidated,90.0,110.0,,,
2018,Scaled Score,Consolidated,80.0,80.0,,,
2019,Scaled Score,Consolidated,99.0,157.0,,,
2019,Scaled Score,Consolidated,95.0,120.0,,,
2019,Scaled Score,Consolidated,90.0,90.0,,,
2019,Scaled Score,Consolidated,80.0,75.0,,,
2020,Scaled Score,Consolidated,99.0,102.0,,,
2020,Scaled Score,Consolidated,95.0,77.0,,,
2020,Scaled Score,Consolidated,90.0,63.0,,,
2020,Scaled Score,Consolidated,80.0,49.0,,,
2021,Scaled Score,Consolidated,99.0,97.0,,,
2021,Scaled Score,Consolidated,95.0,71.0,,,
2021,Scaled Score,Consolidated,90.0,59.0,,,
2021,Scaled Score,Consolidated,80.0,45.0,,,
2022,Scaled Score,Consolidated,99.0,82.5,,,
2022,Scaled Score,Consolidated,95.0,60.0,,,
2022,Scaled Score,Consolidated,90.0,48.5,,,
2022,Scaled Score,Consolidated,80.0,35.5,,,
2023,Scaled Score,Consolidated,100.0,142.9,,,
2023,Scaled Score,Consolidated,99.0,76.02,,,
2023,Scaled Score,Consolidated,95.0,54.86,,,
2023,Scaled Score,Consolidated,90.0,45.16,,,
2023,Scaled Score,Consolidated,85.0,42.29,,,
2023,Scaled Score,Consolidated,80.0,41.19,,,
